Leaving Home,Rocket Man,William Shatner
Song Of My People,Loser,Beck
Soft Drinks,Institutionalized,Suicidal Tendencies
Leaving Home,The Ballad Of Bilbo Baggins,Leonard Nimoy
Song Of My People,Down Under,Men At Work
Soft Drinks,Mellow Yellow,Donovan
Not on the Soundtrack,Sweet Emotion,Aerosmith
Soft Drinks,Yoda,Weird Al
Leaving Home,Wild World,Cat Stevens
Not on the Soundtrack,Where Is My Mind,Pixies
Song Of My People,Only Wanna Be With You,Hootie And The Blowfish
Soft Drinks,Having A Party,Sam Cooke
Soft Drinks,Lola,The Kinks
Leaving Home,Hit the Road Jack,Ray Charles
Leaving Home,Smalltown Boy,Bronski Beat
Leaving Home,By The Time I Get To Phoenix,Glen Campbell
Leaving Home,Goodbye Yellow Brick Road,Elton John
Even,Even Numbers,They Might Be Giants
Odd,Odds Of Even,Marilyn Manson
Song Of My People,Christmastime for the Jews,Darlene Love
Song Of My People,In The Garage,Weezer
Soft Drinks,Koka Kola,The Clash
Soft Drinks,Things Go Better With Coke,Otis Redding
Soft Drinks,I Want You,Savage Garden
Anthropology,In the Days of the Caveman,Crash Test Dummies
Anthropology,People Are People,Depeche Mode
Song Of My People,This Is Halloween,Danny Elfman
Song Of My People,Sweet Home Alabama,Lynyrd Skynyrd
Leaving Home,Love Is a Battlefield,Pat Benatar
Leaving Home,Goodbye Stranger,Supertramp
Leaving Home,Jet Airliner,Steve Miller Band
Not on the Soundtrack,Love Will Tear Us Apart,Joy Division
Odd,Just One Fix,Ministry
Odd,The Odd Couple,Billy May and His Orchestra
Song Of My People,Detroit Rock City,KISS
Song Of My People,Hooked on a Feeling,Blue Swede
Soft Drinks,Oh Oh I Love Her So,RAMONES
Soft Drinks,Here Comes Alice,The Jesus and Mary Chain
Leaving Home,Born to Run,Bruce Springsteen
Leaving Home,Saying Goodbye,The Muppets
Leaving Home,Ramble On,Led Zeppelin
Leaving Home,Honky Cat,Elton John
Anthropology,Queen of the Savages,The Magnetic Fields
Anthropology,My Old Man,The Smothers Brothers
Anthropology,New Dark Ages,Bad Religion
Anthropology,Human,The Killers
Anthropology,Slow Down You Grave Robbing Bastard,The Meteors
Anthropology,Raiders March,John Williams
Odd,Strange Phenomena,Kate Bush
Odd,The Odd Couple,Earnest Tubb and Loretta Lynn
Song Of My People,My Favorite Things,Maria
Song Of My People,Invincible,Pat Benatar
Song Of My People,Uptown,Prince
Song Of My People,Latchkey Kids,Good Tiger
Song Of My People,Bangla Desh,George Harrison
Song Of My People,Kids in America,Kim Wilde
Jive,Tired Of Your Jive,BB King
Jive,Hit That Jive,Gramatik
Jive,The Scenario,A Tribe Called Quest
Jive,Java Jive,The Ink Spots
Jive,Juke Box Jive,Rubettes
Jive,Rhine Jive Click,Guided By Voices
Jive,Our Love Will Last,The Jivers
Jive,Jiving Sister Fanny,Rolling Stones
Jive,Do You Love Me,The Contours
Not on the Soundtrack,Abduction At Airport from Big Trouble in Little China,John Carpenter
Not on the Soundtrack,Dissolved Girl,Massive Attack
Not on the Soundtrack,The Nightclub Brawl from Indiana Jones and the Temple of Doom,John Williams
Not on the Soundtrack,Heaven Is A Place On Earth,Belinda Carlisle
Odd,Odd Look,Kavinsky
Even,Even Less,Porcupine Tree
Odd,Lucky Number,Lene Lovich
Odd,Oddity,The Clean
Song Of My People,Here Comes Your Man,Pixies
Song Of My People,Rise Above,Black Flag
Song Of My People,TCR,Song of My People Sleaford Mods
Song Of My People,Oh England My Lionheart,Kate Bush
Song Of My People,King of Spain,Moxy Fruvous
Song Of My People,Tarzan Boy,Baltimora
Soft Drinks,Sweet and Dandy,Toots and the Maytals
Soft Drinks,Children of Marx and Coca Cola,The Lovefools
Soft Drinks,Brilliant Mistake,Elvis Costello
Leaving Home,Promised Land,Chuck Berry
Leaving Home,Step Back,Cringer
Anthropology,The Devil Put Dinosaurs Here,Alice In Chains
Anthropology,Hungry Heart,Bruce Springsteen
Jive,Born To Hand Jive,Sha Na Na
Jive,The Phat Jive,Patrick Lindsey
Jive,Virginia Plain,Roxy Music
Not on the Soundtrack,The Coming Storm,John Williams
Not on the Soundtrack,Nearer My God To Thee,Titanic
Odd,Bottom Of The Sea,Matt Nathanson
Even,Even It Up,HEART
Odd,Heterosexual Man,The Odds
Even,Over and Even,Joan Shelley
Even,Even Now,Barry Manilow
Song Of My People,The Way We Get By,Spoon
Song Of My People,I Will Light You On Fire,Golden Shoulders
Song Of My People,De La Rey,Bok Van Blerk
Song Of My People,A Pict Song,Billy Bragg
Song Of My People,North American Scum,LCD Soundsystem
Soft Drinks,Root Beer Rag,Billy Joel
Soft Drinks,Tall Cool One,Robert Plant
Soft Drinks,Go For Soda,Kim Mitchell
Soft Drinks,Lemme Take You To The Beach,Frank Zappa
Soft Drinks,White Slavery,Type O Negative
Soft Drinks,Praise The Lowered,Devin Townsend Project
Soft Drinks,Old Mother Nature,Lucifer
Soft Drinks,Programmable Soda,Tori Amos
Soft Drinks,State O Maine,Tim Sample
Leaving Home,Muirshin Durkin,The Pogues
Leaving Home,Leaving Home,Jebediah
Leaving Home,Miles Away,John Foxx
Leaving Home,Dreams Of Leaving,The Human League
Leaving Home,Leaving the Past,Immortal Technique
Anthropology,The Caves Of Altamira,Steely Dan
Anthropology,Diggin Up Bones,Randy Travis
Anthropology,The Bad Touch,Bloodhound Gang
Not on the Soundtrack,Cabin In The Air,Nancy Wilson
Not on the Soundtrack,Maniac,Michael Sembello
Not on the Soundtrack,I Am Waiting,Rolling Stones
Even,Cut From The Cloth,The Evens
Even,Garbage,Even Though Our Love Is Doomed
Even,Even In His Youth,Nirvana
Even,Marilyn Monroe,Pharrell Williams
Even,Not even jail,Interpol
Even,Even Dogs in the Wild,Associates
Even,Even Tho,Webb Pierce
Even,Bizarre Love Triangle,Even As We Speak
Soft Drinks,Babybird,Atomic Soda
Soft Drinks,Coca Cola Cowboy,Mel Tillis
Leaving Home,Rocket Man,William Shatner
Song Of My People,Loser,Beck
Soft Drinks,Institutionalized,Suicidal Tendencies
Leaving Home,The Ballad Of Bilbo Baggins,Leonard Nimoy
Song Of My People,Down Under,Men At Work
Soft Drinks,Mellow Yellow,Donovan
Not on the Soundtrack,Sweet Emotion,Aerosmith
Soft Drinks,Yoda,Weird Al
Leaving Home,Wild World,Cat Stevens
Not on the Soundtrack,Where Is My Mind,Pixies
Song Of My People,Only Wanna Be With You,Hootie And The Blowfish
Soft Drinks,Having A Party,Sam Cooke
Soft Drinks,Lola,The Kinks
Leaving Home,Hit the Road Jack,Ray Charles
Leaving Home,Smalltown Boy,Bronski Beat
Leaving Home,By The Time I Get To Phoenix,Glen Campbell
Leaving Home,Goodbye Yellow Brick Road,Elton John
Even,Even Numbers,They Might Be Giants
Odd,Odds Of Even,Marilyn Manson
Song Of My People,Christmastime for the Jews,Darlene Love
Song Of My People,In The Garage,Weezer
Soft Drinks,Koka Kola,The Clash
Soft Drinks,Things Go Better With Coke,Otis Redding
Soft Drinks,I Want You,Savage Garden
Anthropology,In the Days of the Caveman,Crash Test Dummies
Anthropology,People Are People,Depeche Mode
Song Of My People,This Is Halloween,Danny Elfman
Song Of My People,Sweet Home Alabama,Lynyrd Skynyrd
Leaving Home,Love Is a Battlefield,Pat Benatar
Leaving Home,Goodbye Stranger,Supertramp
Leaving Home,Jet Airliner,Steve Miller Band
Not on the Soundtrack,Love Will Tear Us Apart,Joy Division
Odd,Just One Fix,Ministry
Odd,The Odd Couple,Billy May and His Orchestra
Song Of My People,Detroit Rock City,KISS
Song Of My People,Hooked on a Feeling,Blue Swede
Soft Drinks,Oh Oh I Love Her So,RAMONES
Soft Drinks,Here Comes Alice,The Jesus and Mary Chain
Leaving Home,Born to Run,Bruce Springsteen
Leaving Home,Saying Goodbye,The Muppets
Leaving Home,Ramble On,Led Zeppelin
Leaving Home,Honky Cat,Elton John
Anthropology,Queen of the Savages,The Magnetic Fields
Anthropology,My Old Man,The Smothers Brothers
Anthropology,New Dark Ages,Bad Religion
Anthropology,Human,The Killers
Anthropology,Slow Down You Grave Robbing Bastard,The Meteors
Anthropology,Raiders March,John Williams
Odd,Strange Phenomena,Kate Bush
Odd,The Odd Couple,Earnest Tubb and Loretta Lynn
Song Of My People,My Favorite Things,Maria
Song Of My People,Invincible,Pat Benatar
Song Of My People,Uptown,Prince
Song Of My People,Latchkey Kids,Good Tiger
Song Of My People,Bangla Desh,George Harrison
Song Of My People,Kids in America,Kim Wilde
Jive,Tired Of Your Jive,BB King
Jive,Hit That Jive,Gramatik
Jive,The Scenario,A Tribe Called Quest
Jive,Java Jive,The Ink Spots
Jive,Juke Box Jive,Rubettes
Jive,Rhine Jive Click,Guided By Voices
Jive,Our Love Will Last,The Jivers
Jive,Jiving Sister Fanny,Rolling Stones
Jive,Do You Love Me,The Contours
Not on the Soundtrack,Abduction At Airport from Big Trouble in Little China,John Carpenter
Not on the Soundtrack,Dissolved Girl,Massive Attack
Not on the Soundtrack,The Nightclub Brawl from Indiana Jones and the Temple of Doom,John Williams
Not on the Soundtrack,Heaven Is A Place On Earth,Belinda Carlisle
Odd,Odd Look,Kavinsky
Even,Even Less,Porcupine Tree
Odd,Lucky Number,Lene Lovich
Odd,Oddity,The Clean
Song Of My People,Here Comes Your Man,Pixies
Song Of My People,Rise Above,Black Flag
Song Of My People,TCR,Song of My People Sleaford Mods
Song Of My People,Oh England My Lionheart,Kate Bush
Song Of My People,King of Spain,Moxy Fruvous
Song Of My People,Tarzan Boy,Baltimora
Soft Drinks,Sweet and Dandy,Toots and the Maytals
Soft Drinks,Children of Marx and Coca Cola,The Lovefools
Soft Drinks,Brilliant Mistake,Elvis Costello
Leaving Home,Promised Land,Chuck Berry
Leaving Home,Step Back,Cringer
Anthropology,The Devil Put Dinosaurs Here,Alice In Chains
Anthropology,Hungry Heart,Bruce Springsteen
Jive,Born To Hand Jive,Sha Na Na
Jive,The Phat Jive,Patrick Lindsey
Jive,Virginia Plain,Roxy Music
Not on the Soundtrack,The Coming Storm,John Williams
Not on the Soundtrack,Nearer My God To Thee,Titanic
Odd,Bottom Of The Sea,Matt Nathanson
Even,Even It Up,HEART
Odd,Heterosexual Man,The Odds
Even,Over and Even,Joan Shelley
Even,Even Now,Barry Manilow
Song Of My People,The Way We Get By,Spoon
Song Of My People,I Will Light You On Fire,Golden Shoulders
Song Of My People,De La Rey,Bok Van Blerk
Song Of My People,A Pict Song,Billy Bragg
Song Of My People,North American Scum,LCD Soundsystem
Soft Drinks,Root Beer Rag,Billy Joel
Soft Drinks,Tall Cool One,Robert Plant
Soft Drinks,Go For Soda,Kim Mitchell
Soft Drinks,Lemme Take You To The Beach,Frank Zappa
Soft Drinks,White Slavery,Type O Negative
Soft Drinks,Praise The Lowered,Devin Townsend Project
Soft Drinks,Old Mother Nature,Lucifer
Soft Drinks,Programmable Soda,Tori Amos
Soft Drinks,State O Maine,Tim Sample
Leaving Home,Muirshin Durkin,The Pogues
Leaving Home,Leaving Home,Jebediah
Leaving Home,Miles Away,John Foxx
Leaving Home,Dreams Of Leaving,The Human League
Leaving Home,Leaving the Past,Immortal Technique
Anthropology,The Caves Of Altamira,Steely Dan
Anthropology,Diggin Up Bones,Randy Travis
Anthropology,The Bad Touch,Bloodhound Gang
Not on the Soundtrack,Cabin In The Air,Nancy Wilson
Not on the Soundtrack,Maniac,Michael Sembello
Not on the Soundtrack,I Am Waiting,Rolling Stones
Even,Cut From The Cloth,The Evens
Even,Garbage,Even Though Our Love Is Doomed
Even,Even In His Youth,Nirvana
Even,Marilyn Monroe,Pharrell Williams
Even,Not even jail,Interpol
Even,Even Dogs in the Wild,Associates
Even,Even Tho,Webb Pierce
Even,Bizarre Love Triangle,Even As We Speak
Soft Drinks,Babybird,Atomic Soda
Soft Drinks,Coca Cola Cowboy,Mel Tillis
Leaving Home,Rocket Man,William Shatner
Song Of My People,Loser,Beck
Soft Drinks,Institutionalized,Suicidal Tendencies
Leaving Home,The Ballad Of Bilbo Baggins,Leonard Nimoy
Song Of My People,Down Under,Men At Work
Soft Drinks,Mellow Yellow,Donovan
Not on the Soundtrack,Sweet Emotion,Aerosmith
Soft Drinks,Yoda,Weird Al
Leaving Home,Wild World,Cat Stevens
Not on the Soundtrack,Where Is My Mind,Pixies
Song Of My People,Only Wanna Be With You,Hootie And The Blowfish
Soft Drinks,Having A Party,Sam Cooke
Soft Drinks,Lola,The Kinks
Leaving Home,Hit the Road Jack,Ray Charles
Leaving Home,Smalltown Boy,Bronski Beat
Leaving Home,By The Time I Get To Phoenix,Glen Campbell
Leaving Home,Goodbye Yellow Brick Road,Elton John
Even,Even Numbers,They Might Be Giants
Odd,Odds Of Even,Marilyn Manson
Song Of My People,Christmastime for the Jews,Darlene Love
Song Of My People,In The Garage,Weezer
Soft Drinks,Koka Kola,The Clash
Soft Drinks,Things Go Better With Coke,Otis Redding
Soft Drinks,I Want You,Savage Garden
Anthropology,In the Days of the Caveman,Crash Test Dummies
Anthropology,People Are People,Depeche Mode
Song Of My People,This Is Halloween,Danny Elfman
Song Of My People,Sweet Home Alabama,Lynyrd Skynyrd
Leaving Home,Love Is a Battlefield,Pat Benatar
Leaving Home,Goodbye Stranger,Supertramp
Leaving Home,Jet Airliner,Steve Miller Band
Not on the Soundtrack,Love Will Tear Us Apart,Joy Division
Odd,Just One Fix,Ministry
Odd,The Odd Couple,Billy May and His Orchestra
Song Of My People,Detroit Rock City,KISS
Song Of My People,Hooked on a Feeling,Blue Swede
Soft Drinks,Oh Oh I Love Her So,RAMONES
Soft Drinks,Here Comes Alice,The Jesus and Mary Chain
Leaving Home,Born to Run,Bruce Springsteen
Leaving Home,Saying Goodbye,The Muppets
Leaving Home,Ramble On,Led Zeppelin
Leaving Home,Honky Cat,Elton John
Anthropology,Queen of the Savages,The Magnetic Fields
Anthropology,My Old Man,The Smothers Brothers
Anthropology,New Dark Ages,Bad Religion
Anthropology,Human,The Killers
Anthropology,Slow Down You Grave Robbing Bastard,The Meteors
Anthropology,Raiders March,John Williams
Odd,Strange Phenomena,Kate Bush
Odd,The Odd Couple,Earnest Tubb and Loretta Lynn
Song Of My People,My Favorite Things,Maria
Song Of My People,Invincible,Pat Benatar
Song Of My People,Uptown,Prince
Song Of My People,Latchkey Kids,Good Tiger
Song Of My People,Bangla Desh,George Harrison
Song Of My People,Kids in America,Kim Wilde
Jive,Tired Of Your Jive,BB King
Jive,Hit That Jive,Gramatik
Jive,The Scenario,A Tribe Called Quest
Jive,Java Jive,The Ink Spots
Jive,Juke Box Jive,Rubettes
Jive,Rhine Jive Click,Guided By Voices
Jive,Our Love Will Last,The Jivers
Jive,Jiving Sister Fanny,Rolling Stones
Jive,Do You Love Me,The Contours
Not on the Soundtrack,Abduction At Airport from Big Trouble in Little China,John Carpenter
Not on the Soundtrack,Dissolved Girl,Massive Attack
Not on the Soundtrack,The Nightclub Brawl from Indiana Jones and the Temple of Doom,John Williams
Not on the Soundtrack,Heaven Is A Place On Earth,Belinda Carlisle
Odd,Odd Look,Kavinsky
Even,Even Less,Porcupine Tree
Odd,Lucky Number,Lene Lovich
Odd,Oddity,The Clean
Song Of My People,Here Comes Your Man,Pixies
Song Of My People,Rise Above,Black Flag
Song Of My People,TCR,Song of My People Sleaford Mods
Song Of My People,Oh England My Lionheart,Kate Bush
Song Of My People,King of Spain,Moxy Fruvous
Song Of My People,Tarzan Boy,Baltimora
Soft Drinks,Sweet and Dandy,Toots and the Maytals
Soft Drinks,Children of Marx and Coca Cola,The Lovefools
Soft Drinks,Brilliant Mistake,Elvis Costello
Leaving Home,Promised Land,Chuck Berry
Leaving Home,Step Back,Cringer
Anthropology,The Devil Put Dinosaurs Here,Alice In Chains
Anthropology,Hungry Heart,Bruce Springsteen
Jive,Born To Hand Jive,Sha Na Na
Jive,The Phat Jive,Patrick Lindsey
Jive,Virginia Plain,Roxy Music
Not on the Soundtrack,The Coming Storm,John Williams
Not on the Soundtrack,Nearer My God To Thee,Titanic
Odd,Bottom Of The Sea,Matt Nathanson
Even,Even It Up,HEART
Odd,Heterosexual Man,The Odds
Even,Over and Even,Joan Shelley
Even,Even Now,Barry Manilow
Song Of My People,The Way We Get By,Spoon
Song Of My People,I Will Light You On Fire,Golden Shoulders
Song Of My People,De La Rey,Bok Van Blerk
Song Of My People,A Pict Song,Billy Bragg
Song Of My People,North American Scum,LCD Soundsystem
Soft Drinks,Root Beer Rag,Billy Joel
Soft Drinks,Tall Cool One,Robert Plant
Soft Drinks,Go For Soda,Kim Mitchell
Soft Drinks,Lemme Take You To The Beach,Frank Zappa
Soft Drinks,White Slavery,Type O Negative
Soft Drinks,Praise The Lowered,Devin Townsend Project
Soft Drinks,Old Mother Nature,Lucifer
Soft Drinks,Programmable Soda,Tori Amos
Soft Drinks,State O Maine,Tim Sample
Leaving Home,Muirshin Durkin,The Pogues
Leaving Home,Leaving Home,Jebediah
Leaving Home,Miles Away,John Foxx
Leaving Home,Dreams Of Leaving,The Human League
Leaving Home,Leaving the Past,Immortal Technique
Anthropology,The Caves Of Altamira,Steely Dan
Anthropology,Diggin Up Bones,Randy Travis
Anthropology,The Bad Touch,Bloodhound Gang
Not on the Soundtrack,Cabin In The Air,Nancy Wilson
Not on the Soundtrack,Maniac,Michael Sembello
Not on the Soundtrack,I Am Waiting,Rolling Stones
Even,Cut From The Cloth,The Evens
Even,Garbage,Even Though Our Love Is Doomed
Even,Even In His Youth,Nirvana
Even,Marilyn Monroe,Pharrell Williams
Even,Not even jail,Interpol
Even,Even Dogs in the Wild,Associates
Even,Even Tho,Webb Pierce
Even,Bizarre Love Triangle,Even As We Speak
Soft Drinks,Babybird,Atomic Soda
Soft Drinks,Coca Cola Cowboy,Mel Tillis
